[Time 0] Task T1 Released, ExecTime: 1
[Time 0] Task T2 Released, ExecTime: 4
[Time 0] Task T3 Released, ExecTime: 1
[Time 0] Task T4 Released, ExecTime: 2
[Time 0] Task T5 Released, ExecTime: 1
[Time 0] Task T6 Released, ExecTime: 2
[Time 0] Task T7 Released, ExecTime: 2
[Time 0] Task T1 Running, Remaining: 0
[Time 1] Task T1 Completed, Response: 1
[Time 1] Task T3 Running, Remaining: 0
[Time 2] Task T3 Completed, Response: 2
[Time 2] Task T4 Running, Remaining: 1
[Time 3] Task T4 Running, Remaining: 0
[Time 4] Task T4 Completed, Response: 4
[Time 4] Task T5 Running, Remaining: 0
[Time 5] Task T5 Completed, Response: 5
[Time 5] Task T6 Running, Remaining: 1
[Time 6] Task T1 Released, ExecTime: 1
[Time 6] Task T1 Running, Remaining: 0
[Time 7] Task T1 Completed, Response: 1
[Time 7] Task T6 Running, Remaining: 0
[Time 8] Task T6 Completed, Response: 8
[Time 8] Task T7 Running, Remaining: 1
[Time 9] Task T7 Running, Remaining: 0
[Time 10] Task T7 Completed, Response: 10
[Time 10] Task T3 Released, ExecTime: 1
[Time 10] Task T3 Running, Remaining: 0
[Time 11] Task T3 Completed, Response: 1
[Time 11] Task T2 Running, Remaining: 3
[Time 12] Task T1 Released, ExecTime: 1
[Time 12] Task T4 Released, ExecTime: 1
[Time 12] Task T1 Running, Remaining: 0
[Time 13] Task T1 Completed, Response: 1
[Time 13] Task T4 Running, Remaining: 0
[Time 14] Task T4 Completed, Response: 2
[Time 14] Task T2 Running, Remaining: 2
[Time 15] Task T5 Released, ExecTime: 2
[Time 15] Task T5 Running, Remaining: 1
[Time 16] Task T5 Running, Remaining: 0
[Time 17] Task T5 Completed, Response: 2
[Time 17] Task T2 Running, Remaining: 1
[Time 18] Task T1 Released, ExecTime: 1
[Time 18] Task T1 Running, Remaining: 0
[Time 19] Task T1 Completed, Response: 1
[Time 19] Task T2 Running, Remaining: 0
[Time 20] Task T2 Completed, Response: 20
[Time 20] Task T3 Released, ExecTime: 1
[Time 20] Task T6 Released, ExecTime: 1
[Time 20] Task T3 Running, Remaining: 0
[Time 21] Task T3 Completed, Response: 1
[Time 21] Task T6 Running, Remaining: 0
[Time 22] Task T6 Completed, Response: 2
[Time 24] Task T1 Released, ExecTime: 1
[Time 24] Task T4 Released, ExecTime: 2
[Time 24] Task T1 Running, Remaining: 0
[Time 25] Task T1 Completed, Response: 1
[Time 25] Task T4 Running, Remaining: 1
[Time 26] Task T4 Running, Remaining: 0
[Time 27] Task T4 Completed, Response: 3
[Time 30] Task T1 Released, ExecTime: 1
[Time 30] Task T3 Released, ExecTime: 1
[Time 30] Task T5 Released, ExecTime: 1
[Time 30] Task T7 Released, ExecTime: 2
[Time 30] Task T1 Running, Remaining: 0
[Time 31] Task T1 Completed, Response: 1
[Time 31] Task T3 Running, Remaining: 0
[Time 32] Task T3 Completed, Response: 2
[Time 32] Task T5 Running, Remaining: 0
[Time 33] Task T5 Completed, Response: 3
[Time 33] Task T7 Running, Remaining: 1
[Time 34] Task T7 Running, Remaining: 0
[Time 35] Task T7 Completed, Response: 5
[Time 36] Task T1 Released, ExecTime: 1
[Time 36] Task T4 Released, ExecTime: 2
[Time 36] Task T1 Running, Remaining: 0
[Time 37] Task T1 Completed, Response: 1
[Time 37] Task T4 Running, Remaining: 1
[Time 38] Task T4 Running, Remaining: 0
[Time 39] Task T4 Completed, Response: 3
[Time 40] Task T3 Released, ExecTime: 1
[Time 40] Task T6 Released, ExecTime: 1
[Time 40] Task T3 Running, Remaining: 0
[Time 41] Task T3 Completed, Response: 1
[Time 41] Task T6 Running, Remaining: 0
[Time 42] Task T6 Completed, Response: 2
[Time 42] Task T1 Released, ExecTime: 1
[Time 42] Task T1 Running, Remaining: 0
[Time 43] Task T1 Completed, Response: 1
[Time 45] Task T5 Released, ExecTime: 2
[Time 45] Task T5 Running, Remaining: 1
[Time 46] Task T5 Running, Remaining: 0
[Time 47] Task T5 Completed, Response: 2
[Time 48] Task T1 Released, ExecTime: 1
[Time 48] Task T4 Released, ExecTime: 1
[Time 48] Task T1 Running, Remaining: 0
[Time 49] Task T1 Completed, Response: 1
[Time 49] Task T4 Running, Remaining: 0
[Time 50] Task T4 Completed, Response: 2
[Time 50] Task T3 Released, ExecTime: 1
[Time 50] Task T3 Running, Remaining: 0
[Time 51] Task T3 Completed, Response: 1
[Time 54] Task T1 Released, ExecTime: 1
[Time 54] Task T1 Running, Remaining: 0
[Time 55] Task T1 Completed, Response: 1
[Time 60] Task T1 Released, ExecTime: 1
[Time 60] Task T2 Released, ExecTime: 4
[Time 60] Task T3 Released, ExecTime: 1
[Time 60] Task T4 Released, ExecTime: 1
[Time 60] Task T5 Released, ExecTime: 2
[Time 60] Task T6 Released, ExecTime: 3
[Time 60] Task T7 Released, ExecTime: 1
[Time 60] Task T1 Running, Remaining: 0
[Time 61] Task T1 Completed, Response: 1
[Time 61] Task T3 Running, Remaining: 0
[Time 62] Task T3 Completed, Response: 2
[Time 62] Task T4 Running, Remaining: 0
[Time 63] Task T4 Completed, Response: 3
[Time 63] Task T5 Running, Remaining: 1
[Time 64] Task T5 Running, Remaining: 0
[Time 65] Task T5 Completed, Response: 5
[Time 65] Task T6 Running, Remaining: 2
[Time 66] Task T1 Released, ExecTime: 1
[Time 66] Task T1 Running, Remaining: 0
[Time 67] Task T1 Completed, Response: 1
[Time 67] Task T6 Running, Remaining: 1
[Time 68] Task T6 Running, Remaining: 0
[Time 69] Task T6 Completed, Response: 9
[Time 69] Task T7 Running, Remaining: 0
[Time 70] Task T7 Completed, Response: 10
[Time 70] Task T3 Released, ExecTime: 1
[Time 70] Task T3 Running, Remaining: 0
[Time 71] Task T3 Completed, Response: 1
[Time 71] Task T2 Running, Remaining: 3
[Time 72] Task T1 Released, ExecTime: 1
[Time 72] Task T4 Released, ExecTime: 2
[Time 72] Task T1 Running, Remaining: 0
[Time 73] Task T1 Completed, Response: 1
[Time 73] Task T4 Running, Remaining: 1
