[Time 0] Task T1 Released, ExecTime: 0
[Time 0] Task T2 Released, ExecTime: 3
[Time 0] Task T3 Released, ExecTime: 1
[Time 0] Task T4 Released, ExecTime: 1
[Time 0] Task T5 Released, ExecTime: 1
[Time 0] Task T6 Released, ExecTime: 1
[Time 0] Task T7 Released, ExecTime: 1
[Time 0] Task T1 Completed Immediately (0 exec time), Response: 0
[Time 0] Task T3 Running, Remaining: 0
[Time 1] Task T3 Completed, Response: 1
[Time 1] Task T4 Running, Remaining: 0
[Time 2] Task T4 Completed, Response: 2
[Time 2] Task T5 Running, Remaining: 0
[Time 3] Task T5 Completed, Response: 3
[Time 3] Task T6 Running, Remaining: 0
[Time 4] Task T6 Completed, Response: 4
[Time 4] Task T7 Running, Remaining: 0
[Time 5] Task T7 Completed, Response: 5
[Time 5] Task T2 Running, Remaining: 2
[Time 6] Task T1 Released, ExecTime: 0
[Time 6] Task T1 Completed Immediately (0 exec time), Response: 0
[Time 6] Task T2 Running, Remaining: 1
[Time 7] Task T2 Running, Remaining: 0
[Time 8] Task T2 Completed, Response: 8
[Time 10] Task T3 Released, ExecTime: 1
[Time 10] Task T3 Running, Remaining: 0
[Time 11] Task T3 Completed, Response: 1
[Time 12] Task T1 Released, ExecTime: 1
[Time 12] Task T4 Released, ExecTime: 2
[Time 12] Task T1 Running, Remaining: 0
[Time 13] Task T1 Completed, Response: 1
[Time 13] Task T4 Running, Remaining: 1
[Time 14] Task T4 Running, Remaining: 0
[Time 15] Task T4 Completed, Response: 3
[Time 15] Task T5 Released, ExecTime: 2
[Time 15] Task T5 Running, Remaining: 1
[Time 16] Task T5 Running, Remaining: 0
[Time 17] Task T5 Completed, Response: 2
[Time 18] Task T1 Released, ExecTime: 1
[Time 18] Task T1 Running, Remaining: 0
[Time 19] Task T1 Completed, Response: 1
[Time 20] Task T3 Released, ExecTime: 1
[Time 20] Task T6 Released, ExecTime: 2
[Time 20] Task T3 Running, Remaining: 0
[Time 21] Task T3 Completed, Response: 1
[Time 21] Task T6 Running, Remaining: 1
[Time 22] Task T6 Running, Remaining: 0
[Time 23] Task T6 Completed, Response: 3
[Time 24] Task T1 Released, ExecTime: 0
[Time 24] Task T4 Released, ExecTime: 1
[Time 24] Task T1 Completed Immediately (0 exec time), Response: 0
[Time 24] Task T4 Running, Remaining: 0
[Time 25] Task T4 Completed, Response: 1
[Time 30] Task T1 Released, ExecTime: 0
[Time 30] Task T3 Released, ExecTime: 1
[Time 30] Task T5 Released, ExecTime: 1
[Time 30] Task T7 Released, ExecTime: 4
[Time 30] Task T1 Completed Immediately (0 exec time), Response: 0
[Time 30] Task T3 Running, Remaining: 0
[Time 31] Task T3 Completed, Response: 1
[Time 31] Task T5 Running, Remaining: 0
[Time 32] Task T5 Completed, Response: 2
[Time 32] Task T7 Running, Remaining: 3
[Time 33] Task T7 Running, Remaining: 2
[Time 34] Task T7 Running, Remaining: 1
[Time 35] Task T7 Running, Remaining: 0
[Time 36] Task T7 Completed, Response: 6
[Time 36] Task T1 Released, ExecTime: 1
[Time 36] Task T4 Released, ExecTime: 1
[Time 36] Task T1 Running, Remaining: 0
[Time 37] Task T1 Completed, Response: 1
[Time 37] Task T4 Running, Remaining: 0
[Time 38] Task T4 Completed, Response: 2
[Time 40] Task T3 Released, ExecTime: 1
[Time 40] Task T6 Released, ExecTime: 3
[Time 40] Task T3 Running, Remaining: 0
[Time 41] Task T3 Completed, Response: 1
[Time 41] Task T6 Running, Remaining: 2
[Time 42] Task T1 Released, ExecTime: 0
[Time 42] Task T1 Completed Immediately (0 exec time), Response: 0
[Time 42] Task T6 Running, Remaining: 1
[Time 43] Task T6 Running, Remaining: 0
[Time 44] Task T6 Completed, Response: 4
[Time 45] Task T5 Released, ExecTime: 2
[Time 45] Task T5 Running, Remaining: 1
[Time 46] Task T5 Running, Remaining: 0
[Time 47] Task T5 Completed, Response: 2
[Time 48] Task T1 Released, ExecTime: 0
[Time 48] Task T4 Released, ExecTime: 2
[Time 48] Task T1 Completed Immediately (0 exec time), Response: 0
[Time 48] Task T4 Running, Remaining: 1
[Time 49] Task T4 Running, Remaining: 0
[Time 50] Task T4 Completed, Response: 2
[Time 50] Task T3 Released, ExecTime: 1
[Time 50] Task T3 Running, Remaining: 0
[Time 51] Task T3 Completed, Response: 1
[Time 54] Task T1 Released, ExecTime: 0
[Time 54] Task T1 Completed Immediately (0 exec time), Response: 0
